i,theta,theta_dot,u
0032,-0.873298163397458,0.8334665315365957,-0.6384783919615793
0033,-0.8673981633974587,0.840297927583437,-0.7602523431429393
0034,-0.8612981633974593,0.8469762086034941,-0.8798291718606975
0035,-0.85499816339746,0.8534977953479664,-0.9973687704959211
0036,-0.8485481633974608,0.8598116841091501,-1.1121422039417939
0037,-0.8418981633974615,0.8659673937569113,-1.2252185060604126
0038,-0.8350981633974622,0.8719188451204151,-1.3359012042059504
0039,-0.828148163397463,0.8776696584221813,-1.4443758299666027
0040,-0.8210481633974638,0.8832229010038655,-1.5508036720550822
0041,-0.8137981633974646,0.8885811600436294,-1.6553255243810017
0042,-0.8063981633974654,0.8937466033200077,-1.7580647263343205
0043,-0.7988481633974662,0.8987210302840585,-1.8591296484808963
0044,-0.7911981633974671,0.9034757452590734,-1.9579808321761616
0045,-0.7833981633974679,0.9080456060073151,-2.0553798611863447
0046,-0.7754981633974688,0.9124045739774472,-2.150803583921732
0047,-0.7674981633974697,0.9165579687819807,-2.244370969659714
0048,-0.7593981633974706,0.920510542009916,-2.336187720762996
0049,-0.7511981633974715,0.9242665421305373,-2.426348046745755
0050,-0.7428981633974724,0.9278297700272795,-2.514936150426587
0051,-0.7344981633974733,0.9312036267437791,-2.602027476052699
0052,-0.7260481633974742,0.9343730498169195,-2.6871928329403865
0053,-0.7175481633974752,0.937344527710198,-2.7705334052064194
0054,-0.7089481633974761,0.9401396427090516,-2.8526114577325594
0055,-0.7002981633974771,0.9427458458578061,-2.9330145668757654
0056,-0.691598163397478,0.9451682375285357,-3.011819487064805
0057,-0.682848163397479,0.9474115013573924,-3.089096037696968
0058,-0.67404816339748,0.9494799447051813,-3.1649078750804427
0059,-0.6652481633974809,0.9513673149227397,-3.238897804601191
0060,-0.6563981633974819,0.9530894512675314,-3.3115538985486994
0061,-0.6474981633974829,0.9546496419420462,-3.382923867810334
0062,-0.6385981633974839,0.9560435528800775,-3.45266421949992
0063,-0.6296481633974849,0.957283155795766,-3.5212199508717985
0064,-0.6206981633974858,0.9583653642329941,-3.5882569714919352
0065,-0.6116981633974868,0.9592998208997556,-3.654195224476827
0066,-0.6026981633974878,0.9600846767254737,-3.7187102868458606
0067,-0.5936981633974888,0.9607242755733247,-3.781852577935317
0068,-0.5846981633974898,0.9612226951649625,-3.843669002397036
0069,-0.5756981633974908,0.9615837687128294,-3.9042032696352034
0070,-0.5666981633974918,0.9618111043091518,-3.9634961767356365
0071,-0.5576981633974928,0.9619081023495963,-4.0215858599825856
0072,-0.5486981633974938,0.9618779712296595,-4.0785080185744045
0073,-0.5396981633974948,0.9617237415184495,-4.134296114509213
0074,-0.5306981633974958,0.9614482787863947,-4.188981557793796
0075,-0.5216981633974968,0.9610542952396632,-4.242593853663842
0076,-0.5126981633974977,0.9605443602939445,-4.295160773470532
0077,-0.5036981633974987,0.9599209102031064,-4.346708431419158
0078,-0.4946981633974997,0.9591862568436191,-4.39726142872986
0079,-0.4856981633975007,0.958342595743097,-4.4468430537964645
0080,-0.4766981633975017,0.9573920134305569,-4.495475263895173
0081,-0.4677481633975027,0.9563426445343342,-4.5429162722208405
0082,-0.4587981633975037,0.9551913586658085,-4.589458150816884
0083,-0.44984816339750466,0.9539399245683364,-4.6351191522912965
0084,-0.44094816339750564,0.9525978394990787,-4.679668660283319
0085,-0.4320481633975066,0.9511599690445891,-4.723380319382929
0086,-0.4231481633975076,0.9496278208487501,-4.766269391797947
0087,-0.4142481633975086,0.9480028338522977,-4.808350377118789
0088,-0.40539816339750956,0.9462962779273649,-4.849407277637625
0089,-0.39654816339751053,0.9445005722680899,-4.889691607661219
0090,-0.3876981633975115,0.9426169499174151,-4.9292155564554685
0091,-0.3788981633975125,0.9406579629471795,-4.967773739335015
0092,-0.37009816339751345,0.9386143231354054,-5.00560242252419
